time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.025660,5,292.019,1566.671,1766.605,776.551,2535.462,1501.777,3551.194,861.743,4848.989,734.713
0.031910,5,221.718,1330.451,1591.963,536.654,2652.357,651.905,3846.066,664.419,4918.572,592.507
0.038160,4,1643.891,354.663,2726.448,697.757,4043.470,904.309,5018.261,1386.992,--undefined--,--undefined--
0.044410,4,1504.651,3224.002,1663.662,317.745,3040.984,650.859,4206.694,688.545,--undefined--,--undefined--
0.050660,4,1277.630,673.494,2002.934,687.398,3233.315,408.885,4409.639,527.067,--undefined--,--undefined--
0.056910,4,1329.461,545.304,2086.581,507.924,3251.143,481.611,4403.464,624.550,--undefined--,--undefined--
0.063160,4,1427.135,1134.901,1880.749,739.478,2979.664,700.849,4200.190,513.677,--undefined--,--undefined--
0.069410,5,184.785,1546.571,1686.959,435.248,2680.532,758.942,3856.175,1052.053,4992.001,1082.246
0.075660,5,179.359,1238.720,1699.372,252.506,2641.902,590.990,3808.130,533.876,4825.312,474.062
0.081910,4,1729.635,640.061,2594.280,649.406,3800.795,813.239,4631.276,626.549,--undefined--,--undefined--
0.088160,4,1684.095,522.242,2480.320,1136.743,3583.567,686.568,4611.481,611.328,--undefined--,--undefined--
0.094410,4,1682.884,518.060,2230.189,1077.640,3572.959,1647.974,4094.573,1211.671,--undefined--,--undefined--
0.100660,3,1768.128,297.187,2832.526,1163.598,3866.543,690.247,--undefined--,--undefined--,--undefined--,--undefined--
0.106910,5,337.372,1026.703,1806.834,240.167,2850.418,597.930,3968.776,689.441,5402.094,1463.971
0.113160,5,158.623,1729.161,1684.802,584.658,2641.000,793.853,3700.043,716.179,4917.087,993.118
0.119410,5,570.403,995.236,1718.058,221.947,2727.474,730.650,3702.528,725.422,4867.583,790.191
0.125660,5,681.833,520.832,1694.611,247.790,2861.741,486.364,3900.132,967.552,5008.628,1143.457
0.131910,4,692.433,622.465,1715.714,307.024,2957.441,410.395,4104.289,797.093,--undefined--,--undefined--
0.138160,5,382.988,949.007,1744.877,261.098,3063.364,829.237,3792.960,812.267,5308.065,1384.177
0.144410,4,1740.733,555.607,2638.078,1949.526,3681.626,956.133,4703.895,1346.201,--undefined--,--undefined--
0.150660,4,1583.620,432.972,2587.422,925.685,3795.083,667.945,4629.060,775.350,--undefined--,--undefined--
0.156910,4,1519.575,619.858,2268.448,1222.289,3844.227,1179.157,3945.874,2173.655,--undefined--,--undefined--
0.163160,4,1090.127,1079.758,2139.074,683.693,3663.912,862.517,4153.634,2490.826,--undefined--,--undefined--
0.169410,5,333.955,1266.576,1820.175,473.143,2630.699,667.577,3831.302,613.357,4803.310,642.203
0.175660,4,1832.345,564.945,2650.321,1204.760,3651.082,1139.919,4836.764,911.900,--undefined--,--undefined--
0.181910,4,1227.081,722.333,2264.608,348.940,3322.256,351.919,4309.069,472.074,--undefined--,--undefined--
0.188160,4,1238.942,677.929,2271.268,629.624,3207.376,454.832,4351.532,443.617,--undefined--,--undefined--
0.194410,4,1360.603,877.432,2263.175,757.680,3171.732,621.951,4333.623,736.753,--undefined--,--undefined--
0.200660,4,1496.511,1048.004,2325.621,964.226,3082.846,966.003,4166.719,633.571,--undefined--,--undefined--
0.206910,4,1397.704,491.260,2344.587,775.151,3228.793,649.362,4306.246,546.769,--undefined--,--undefined--
0.213160,4,1282.331,517.852,2374.107,934.315,3141.893,691.162,4238.444,492.016,--undefined--,--undefined--
0.219410,4,1102.973,765.608,2516.828,457.778,3368.273,928.635,4337.397,1230.938,--undefined--,--undefined--
0.225660,4,1415.732,814.463,2467.040,397.156,3558.097,690.912,4684.082,1398.800,--undefined--,--undefined--
0.231910,4,1792.913,875.235,2004.519,2947.173,3151.417,763.394,4328.489,972.801,--undefined--,--undefined--
0.238160,4,1402.559,846.288,2135.691,861.777,3236.473,461.247,4347.513,512.277,--undefined--,--undefined--
