sex,vowel,stat,f1_onset,f2_onset,f3_onset,f1_target1,f2_target1,f3_target1,f1_target2,f2_target2,f3_target2,f1_offset,f2_offset,f3_offset
female,FLEECE,mean,466,2381,3173,391,2729,3333,,,,371,2570,3194
female,FLEECE,sd,109,183,155,43,150,181,,,,44,151,179
female,KIT,mean,398,2687,3349,402,2697,3348,,,,388,2456,3157
female,KIT,sd,61,159,183,41,147,175,,,,41,163,173
female,DRESS,mean,548,2401,3151,537,2400,3149,,,,473,2230,3086
female,DRESS,sd,83,148,161,66,144,162,,,,61,141,156
female,TRAP,mean,923,2024,3054,886,2014,3056,,,,598,2033,3099
female,TRAP,sd,102,102,159,96,108,163,,,,95,113,149
female,BATH,mean,972,1600,2938,955,1525,2945,,,,658,1818,3009
female,BATH,sd,103,116,198,96,105,197,,,,115,112,169
female,STRUT,mean,957,1599,2892,941,1563,2897,,,,634,1836,3013
female,STRUT,sd,110,113,195,103,98,187,,,,98,117,167
female,LOT,mean,710,1213,2857,708,1182,2871,,,,532,1689,2760
female,LOT,sd,110,119,167,78,87,169,,,,77,131,190
female,THOUGHT,mean,491,1016,2861,494,954,2900,,,,461,1613,2635
female,THOUGHT,sd,74,124,200,66,97,167,,,,62,170,188
female,FOOT,mean,432,1078,2787,436,1054,2819,,,,417,1650,2605
female,FOOT,sd,55,131,195,42,112,164,,,,46,187,156
female,GOOSE,mean,413,2027,2834,399,2138,2748,,,,376,2166,2795
female,GOOSE,sd,53,131,137,41,153,159,,,,51,134,161
female,NURSE,mean,530,1920,2917,527,1926,2890,,,,479,1978,2939
female,NURSE,sd,87,122,128,68,114,135,,,,69,115,129
female,NEAR,mean,393,2672,3338,392,2687,3326,,,,386,2338,3097
female,NEAR,sd,57,172,183,40,157,180,,,,48,191,173
female,SQUARE,mean,543,2390,3150,529,2389,3131,,,,473,2183,3052
female,SQUARE,sd,89,144,155,67,145,152,,,,71,132,163
female,PRICE,mean,884,1366,2911,887,1341,2908,552,2173,3063,494,2157,3068
female,PRICE,sd,112,119,222,96,99,221,78,135,139,82,134,139
female,FACE,mean,958,1909,2966,917,1924,2977,428,2538,3184,413,2449,3125
female,FACE,sd,113,126,158,100,133,147,53,141,170,53,149,174
female,CHOICE,mean,550,1063,2856,561,1052,2857,437,2387,3034,415,2337,3030
female,CHOICE,sd,76,105,172,74,103,172,56,156,171,59,151,166
female,MOUTH,mean,936,2022,3037,931,1990,3025,717,1375,2890,550,1528,2844
female,MOUTH,sd,103,114,174,88,120,184,109,150,179,90,172,211
female,GOAT,mean,808,1596,2827,762,1602,2809,425,2119,2808,409,2112,2834
female,GOAT,sd,104,135,149,92,130,139,50,131,160,50,131,164
male,FLEECE,mean,412,1962,2801,320,2339,2948,,,,298,2256,2875
male,FLEECE,sd,81,172,161,42,165,187,,,,44,160,177
male,KIT,mean,334,2332,2976,332,2336,2968,,,,322,2188,2851
male,KIT,sd,73,161,173,39,163,182,,,,42,163,173
male,DRESS,mean,472,2078,2800,467,2085,2799,,,,408,1997,2779
male,DRESS,sd,77,156,159,45,156,167,,,,46,149,168
male,TRAP,mean,716,1786,2683,695,1763,2669,,,,484,1805,2757
male,TRAP,sd,102,121,178,77,120,166,,,,66,126,165
male,BATH,mean,772,1422,2600,757,1349,2582,,,,538,1591,2656
male,BATH,sd,102,113,223,76,94,227,,,,89,103,180
male,STRUT,mean,751,1421,2598,743,1386,2581,,,,523,1601,2669
male,STRUT,sd,85,112,210,76,93,201,,,,71,112,187
male,LOT,mean,578,1070,2543,584,1040,2540,,,,478,1471,2410
male,LOT,sd,81,107,234,62,80,216,,,,59,121,207
male,THOUGHT,mean,435,920,2535,439,846,2575,,,,408,1420,2278
male,THOUGHT,sd,66,129,200,56,96,188,,,,63,132,199
male,FOOT,mean,372,977,2488,378,948,2490,,,,357,1448,2274
male,FOOT,sd,63,128,202,47,107,180,,,,50,160,188
male,GOOSE,mean,361,1726,2547,341,1796,2427,,,,309,1860,2474
male,GOOSE,sd,61,133,172,42,136,163,,,,47,133,183
male,NURSE,mean,472,1644,2611,468,1637,2581,,,,416,1716,2653
male,NURSE,sd,57,119,165,45,109,157,,,,55,108,162
male,NEAR,mean,325,2327,2997,329,2343,2980,,,,329,2097,2795
male,NEAR,sd,57,146,168,44,151,173,,,,52,161,160
male,SQUARE,mean,452,2080,2799,452,2092,2792,,,,400,1960,2750
male,SQUARE,sd,66,148,164,44,153,167,,,,50,142,162
male,PRICE,mean,664,1140,2573,660,1099,2557,461,1829,2657,422,1832,2676
male,PRICE,sd,93,130,241,75,81,245,62,144,189,63,147,189
male,FACE,mean,768,1611,2620,745,1613,2617,372,2206,2856,349,2141,2818
male,FACE,sd,101,103,182,90,100,173,48,174,178,51,167,165
male,CHOICE,mean,468,970,2532,480,956,2530,375,2081,2695,356,2058,2712
male,CHOICE,sd,65,109,223,51,100,208,48,207,198,54,204,190
male,MOUTH,mean,697,1868,2697,698,1844,2676,585,1286,2513,475,1393,2496
male,MOUTH,sd,91,150,188,73,156,182,89,141,216,87,141,250
male,GOAT,mean,670,1444,2546,636,1442,2527,383,1796,2484,363,1801,2499
male,GOAT,sd,95,137,174,77,121,169,50,133,185,57,131,190
